Sphere size (um),Visibility,Epsilon
2,0.3339510921242724,1096.7607274931195
3,0.2801061555425572,1272.5866207256408
4,0.2344432882675344,1450.5415614206843
5,0.24363927071909525,1412.0665462908037
6,0.24234171108504324,1417.4065195242974
7,0.25584532476194743,1363.1822172536831
8,0.2620085132749307,1339.378282333174
9,0.26553022695320433,1326.0265956158564
10,0.27538909017681434,1289.57030793553
11,0.270295809368896,1308.238329449603
12,0.277007857111177,1283.7094081747787
13,0.2927828084720513,1228.324212853526
14,0.30611085578671154,1183.807968822287
15,0.30760913026566805,1178.9253595230564
16,0.3162315223053609,1151.2806681402894
17,0.32379810780856616,1127.6350814599195
18,0.3181929401906,1145.0973500291675
19,0.3090698713723797,1174.1879066996669
20,0.3222596608279049,1132.3976583169274
21,0.3149734692227079,1155.2668683934185
22,0.32488296611631495,1124.2902657629998
23,0.3299684982693364,1108.7580888680766
24,0.3467764068627183,1059.0750673509808
25,0.3461759661680395,1060.8080604637003
26,0.33773479924696603,1085.4943090851484
27,0.3427221372519469,1070.8352555962276
28,0.352696992515556,1042.1459688092166
29,0.35276521826138924,1041.9525474040618
30,0.36109005228978386,1018.6278994310434
