Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
5,0.9203892909501888,82.95855610136157,0.009995291294642857,458
6,0.9177377781145343,85.84357392128955,0.009971043191964285,316
7,0.9169761994250946,86.67376188791938,0.009964069866071429,232
8,0.9067519261772116,97.88637655646667,0.009985447377232143,178
9,0.9157929730463907,87.9649518106471,0.00993964453125,140
10,0.9220994994719462,81.102144250391,0.009972280412946429,114
11,0.9248738477318686,78.09793160083522,0.00996977271205357,94
12,0.9288712467592782,73.78514314323823,0.009971486244419642,79
13,0.9332572449027254,69.07439812866625,0.009924960128348214,67
14,0.9324659344499268,69.92265955244513,0.009964634654017857,58
15,0.9278084772084959,74.92994981412893,0.009847931082589285,50
16,0.9265410127903271,76.29696786804452,0.00987339497767857,44
17,0.9293185736351605,73.30367792411604,0.009879593387276786,39
18,0.9328204545230211,69.54253553560889,0.0099399658203125,35
19,0.9359792852105762,66.16193393472518,0.009799114704241071,31
20,0.930956574977294,71.54264621149667,0.00980746640625,28
21,0.9328943388375575,69.46333338227022,0.0096639208984375,25
22,0.9322755230686266,70.12688237507206,0.009757786579241071,23
23,0.9383322791858852,63.65115050243135,0.0097376091796875,21
24,0.9447505175089809,56.83438897922393,0.009593024190848214,19
25,0.9445241931118578,57.073977639288486,0.009853331082589286,18
26,0.9460103225473424,55.5017982061318,0.009480755803571429,16
27,0.9397751952756338,62.11458628204822,0.009585141043526786,15
28,0.9388621013929092,63.08666743496217,0.009621031640625,14
29,0.9327076314102585,69.66349121968665,0.009583372572544643,13
30,0.9347578755563981,67.46773985267934,0.009460484263392858,12
