Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.7071675897537621,346.48759767697914,0.009993588839285715
3,0.6024355021845882,506.7746696636572,0.009991737834821428
4,0.5676934234364451,566.1737534481349,0.009995448325892857
5,0.548271692525738,600.9843256164753,0.009997247767857143
6,0.5621377573615042,576.0083392650829,0.009969412053571429
7,0.5455470089343855,605.9663015568868,0.009961995870535714
8,0.5638540495604429,572.9598383478218,0.009984786830357143
9,0.5924928312240658,523.4165052459356,0.009939078125
10,0.579952316617594,544.8093915496097,0.009952009151785714
11,0.5741826547264923,554.8077194726266,0.009969004241071429
12,0.5976144735755347,514.8094259529103,0.009971043191964285
13,0.6015645403133159,508.22145038201717,0.00992474140625
14,0.6263829095923221,467.79341821490755,0.009964069866071429
15,0.6595099621923706,416.25820126429994,0.0098344921875
16,0.6778243168984563,388.8671442378263,0.009873251339285714
17,0.6889577052852803,372.57539550536836,0.009879226674107143
18,0.6910965023573965,369.4758088766192,0.00993964453125
19,0.7039312222089725,351.0746233225242,0.009788488727678572
20,0.7033797940172146,351.8582855174769,0.009797328125
21,0.711222080988195,340.7705477556956,0.009663719308035714
22,0.7140366565419491,336.820978265783,0.009757649888392858
23,0.7203487428944206,328.01981910782126,0.00973753359375
24,0.7358355382366614,306.7486387055071,0.009592822209821428
25,0.7428345068807541,297.28199543887456,0.0098452546875
26,0.7581096267403199,276.92727749065074,0.009480558928571428
27,0.7556716113705155,280.1483736654291,0.009585048549107142
28,0.7623730563448413,271.3192678426589,0.0096210265625
29,0.7666237907174802,265.759092447988,0.009583334486607142
30,0.7757387115915739,253.93952736561536,0.009454013839285715
