Sphere size (um),Visibility,Epsilon,Particle fraction
2,0.7071668746572901,346.488608889659,0.009993588839285715
3,0.6024356549588444,506.7744160693117,0.009991737834821428
4,0.567693973551141,566.1727844137818,0.009995448325892857
5,0.5482731040935411,600.981751042582,0.009997247767857143
6,0.562138748671433,576.0065758022274,0.009969412053571429
7,0.5455483133767584,605.9639104873877,0.009961995870535714
8,0.5638553390184367,572.9575514856092,0.009984786830357143
9,0.5924945222959929,523.4136510856409,0.009939078125
10,0.57995396360453,544.8065516875208,0.009952009151785714
11,0.5741846501216743,554.8042442862927,0.009969004241071429
12,0.597616789162842,514.8055512428361,0.009971043191964285
13,0.601566364284603,508.218418340732,0.00992474140625
14,0.6263843758352949,467.79107740829505,0.009964069866071429
15,0.6595108420327147,416.2568671832281,0.0098344921875
16,0.6778246343100519,388.86667595789993,0.009873251339285714
17,0.6889583278861382,372.57449182061123,0.009879226674107143
18,0.6910978922566686,369.47379772785814,0.00993964453125
19,0.7039321584205807,351.0732933474414,0.009788488727678572
20,0.7033813151372389,351.85612293277876,0.009797328125
21,0.7112228863682883,340.7694153672913,0.009663719308035714
22,0.7140378917622124,336.8192483557237,0.009757649888392858
23,0.7203495694578096,328.01867165955696,0.00973753359375
24,0.7358365963431887,306.7472007404843,0.009592822209821428
25,0.7428356758952508,297.2804217187983,0.0098452546875
26,0.7581103104646416,276.9263756105146,0.009480558928571428
27,0.7556721752488722,280.1476274707358,0.009585048549107142
28,0.762373946489686,271.3181002458798,0.0096210265625
29,0.7666238259516395,265.7590464878197,0.009583334486607142
30,0.7757392001217895,253.93889760451864,0.009454013839285715
