Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9645394391113227,72.2091134800729,0.009993675446428572,1426
3,0.9585290513272362,84.71081559697697,0.00998402075892857,633
4,0.9555294876618686,90.97930960546275,0.009981429464285714,356
5,0.9598194467334318,82.02017705633175,0.009997247767857143,230
6,0.9617099026463282,78.08486058886675,0.009969412053571429,158
7,0.9642266325047146,72.85783208613684,0.00996214732142857,116
8,0.9631552089558509,75.0814156774726,0.009984786830357143,89
9,0.9614668115798316,78.59046377341654,0.009939078125,70
10,0.9617390357042376,78.02427554846193,0.009952009151785714,57
11,0.962825095595212,75.7670163829244,0.009969004241071429,47
12,0.9624956687442145,76.45142567266736,0.009844827455357143,39
13,0.9643501182118673,72.60171428885329,0.0097766109375,33
14,0.9638639062362058,73.61034088279307,0.009964069866071429,29
15,0.9669434390316316,67.23055283346976,0.0098344921875,25
16,0.965727068778304,69.74804437487374,0.009873251339285714,22
17,0.9664958813482516,68.15648350355892,0.009625913169642857,19
18,0.9669652133105074,67.18551600331672,0.0096556546875,17
19,0.9671194106192195,66.86661101409152,0.009472731026785714,15
20,0.9663372514823722,68.48476816205563,0.009797328125,14
21,0.9709886157467155,58.88107003254294,0.009277170535714285,12
22,0.9717328211909012,57.34877524969073,0.009333404241071428,11
23,0.9732583027874141,54.21152307305132,0.009273841517857142,10
24,0.9722251290186995,56.3357742467214,0.009087936830357142,9
25,0.9699411065742883,61.03984839959736,0.0098452546875,9
26,0.9716748368014576,57.468121058013224,0.009480558928571428,8
27,0.9738344812240447,53.0278538443839,0.0089460453125,7
28,0.9733830001016618,53.95529237614135,0.0096210265625,7
29,0.9755799209861963,49.44638809425659,0.008846154910714285,6
30,0.9735942045564346,53.52137983706077,0.009454013839285715,6
