Propagation distance,Correlation length,Visibility,Epsilon,Number of spheres
0.0,0.0,1.0000013264979617,-0.013264970818979508,18019
0.02,5.5104087727204135e-08,0.9998109410542433,1.890768196520489,18019
0.04,1.1020817545440827e-07,0.9996300793026793,3.699891348599842,18019
0.06,1.653122631816124e-07,0.9993723308954129,6.278661713056492,18019
0.08,2.2041635090881654e-07,0.9989151748151589,10.854140335857513,18019
0.1,2.755204386360207e-07,0.9984546550490525,15.465402280251759,18019
0.12,3.306245263632248e-07,0.9980698125007991,19.32052711618218,18019
0.14,3.85728614090429e-07,0.9976031482355643,23.99728811782811,18019
0.16,4.408327018176331e-07,0.9973344946357843,26.690641490190952,18019
0.18,4.959367895448372e-07,0.9971487227790512,28.553498551591456,18019
0.2,5.510408772720414e-07,0.9969361331471401,30.68570102115722,18019
0.22,6.061449649992456e-07,0.9964583529454845,35.47933533827893,18019
0.24,6.612490527264496e-07,0.9961366846027868,38.70797276264675,18019
0.26,7.163531404536539e-07,0.9959506280557364,40.5759285134727,18019
0.28,7.71457228180858e-07,0.995827856656666,41.808710172359596,18019
0.3,8.26561315908062e-07,0.9956997438424164,43.09528851949502,18019
0.32,8.816654036352662e-07,0.9956735109121669,43.358754247865,18019
0.34,9.367694913624704e-07,0.995649150340979,43.60342149002672,18019
0.36,9.918735790896745e-07,0.9957250800936842,42.840835015003094,18019
0.38,1.0469776668168785e-06,0.9958837623413089,41.24732684633588,18019
0.4,1.1020817545440828e-06,0.9961089006100602,38.98689412590287,18019
0.42,1.1571858422712869e-06,0.996212380524751,37.94810669976092,18019
0.44,1.2122899299984911e-06,0.9961803758940909,38.26937498945686,18019
0.46,1.2673940177256952e-06,0.9964123635893007,35.94087412060243,18019
0.48,1.3224981054528993e-06,0.9963224143530661,36.843645902290206,18019
0.5,1.3776021931801035e-06,0.9964070015714617,35.99468750612875,18019
0.52,1.4327062809073078e-06,0.9965451603777973,34.6082136188499,18019
0.54,1.4878103686345118e-06,0.9965741424740381,34.317392129123945,18019
0.56,1.542914456361716e-06,0.9964895658301619,35.166102018070816,18019
0.58,1.59801854408892e-06,0.996402516699945,36.03969804502478,18019
0.6,1.653122631816124e-06,0.9964361421293961,35.70223540794283,18019
0.62,1.7082267195433283e-06,0.9964178655055682,35.88565701091434,18019
0.64,1.7633308072705323e-06,0.9964734934192507,35.32739362693359,18019
0.66,1.8184348949977368e-06,0.996369827170033,36.36777897223623,18019
0.68,1.8735389827249409e-06,0.9962349652229664,37.721403612579884,18019
0.7,1.928643070452145e-06,0.9961919641025736,38.15304925806438,18019
0.72,1.983747158179349e-06,0.9961633768444951,38.44001873075794,18019
0.74,2.0388512459065533e-06,0.9962125341442137,37.94656466460994,18019
0.76,2.093955333633757e-06,0.9963492705033208,36.57409672908335,18019
0.78,2.1490594213609618e-06,0.9962473699261577,37.596888549408334,18019
0.8,2.2041635090881656e-06,0.9962134005179227,37.93786799294025,18019
0.82,2.25926759681537e-06,0.9963531121872035,36.535539201215144,18019
0.84,2.3143716845425737e-06,0.9964737572361669,35.324746121676085,18019
0.86,2.369475772269778e-06,0.9965336028747841,34.72418999897499,18019
0.88,2.4245798599969823e-06,0.9963665582493613,36.400587332595656,18019
0.9,2.4796839477241865e-06,0.9962034035507257,38.03821815237201,18019
