Propagation distance,Correlation length,Visibility,Epsilon,Number of spheres
0.0,0.0,0.9999884486246388,0.01155144207889078,13272
0.02,5.5104087727204135e-08,0.9995203576529929,0.47975741219256357,13272
0.04,1.1020817545440827e-07,0.9983200339621557,1.681378763230567,13272
0.06,1.653122631816124e-07,0.9954836217525261,4.526607895972579,13272
0.08,2.2041635090881654e-07,0.9928826684870952,7.1427805415122325,13272
0.1,2.755204386360207e-07,0.990536985547347,9.508073260655229,13272
0.12,3.306245263632248e-07,0.9883928433134722,11.675045572293078,13272
0.14,3.85728614090429e-07,0.9858542569039591,14.246747775471187,13272
0.16,4.408327018176331e-07,0.9835543070113182,16.582424567351598,13272
0.18,4.959367895448372e-07,0.9817990216641915,18.368653830272848,13272
0.2,5.510408772720414e-07,0.9791824896394263,21.03724969664323,13272
0.22,6.061449649992456e-07,0.9770245793497718,23.243469272421276,13272
0.24,6.612490527264496e-07,0.9749122630757664,25.407798622283423,13272
0.26,7.163531404536539e-07,0.9730527283964137,27.317006695671544,13272
0.28,7.71457228180858e-07,0.9706818684766766,29.756497250938185,13272
0.3,8.26561315908062e-07,0.9687318580499781,31.767425664152192,13272
0.32,8.816654036352662e-07,0.9672386116252223,33.31005944320139,13272
0.34,9.367694913624704e-07,0.9658259461766389,34.771640945342426,13272
0.36,9.918735790896745e-07,0.9639949183737622,36.66925578199758,13272
0.38,1.0469776668168785e-06,0.9623407019430974,38.38673099227868,13272
0.4,1.1020817545440828e-06,0.9609949140617124,39.786162365378225,13272
0.42,1.1571858422712869e-06,0.9595864459532389,41.25287280034626,13272
0.44,1.2122899299984911e-06,0.9578848732219457,43.02768232258803,13272
0.46,1.2673940177256952e-06,0.9561978990524386,44.79037997677861,13272
0.48,1.3224981054528993e-06,0.9543998344621587,46.6725816454714,13272
0.5,1.3776021931801035e-06,0.951880667280541,49.31560154290634,13272
0.52,1.4327062809073078e-06,0.9499601937634123,51.33519656710581,13272
0.54,1.4878103686345118e-06,0.9480437365188572,53.35464222291308,13272
0.56,1.542914456361716e-06,0.9461538794399535,55.35005990272683,13272
0.58,1.59801854408892e-06,0.9441682573197342,57.45089003310464,13272
0.6,1.653122631816124e-06,0.9428386545059997,58.86010907246266,13272
0.62,1.7082267195433283e-06,0.9405748295709392,61.264069800603444,13272
0.64,1.7633308072705323e-06,0.9392103131673085,62.715849168648404,13272
0.66,1.8184348949977368e-06,0.9374570358587861,64.58435060501995,13272
0.68,1.8735389827249409e-06,0.9360020897743415,66.13756984214261,13272
0.70,1.928643070452145e-06,0.9348099860453338,67.41199382706615,13272
0.72,1.983747158179349e-06,0.9332841232876389,69.04559792592404,13272
0.74,2.0388512459065533e-06,0.9318351465918148,70.59936128114944,13272
0.76,2.093955333633757e-06,0.9305209714896511,72.01066528206884,13272
0.78,2.1490594213609618e-06,0.9293387336395016,73.28198484033668,13272
0.8,2.2041635090881656e-06,0.9279954446154128,74.72845502758301,13272
0.82,2.25926759681537e-06,0.9269988806214484,75.80292094511407,13272
0.84,2.3143716845425737e-06,0.9259741642771545,76.90894507382487,13272
0.86,2.369475772269778e-06,0.9254049218762084,77.52388387608508,13272
0.88,2.4245798599969823e-06,0.924443746352316,78.56307765112241,13272
0.9,2.4796839477241865e-06,0.9241578727631504,78.87236396623574,13272
