Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9523617812031053,48.81029410877728,0.007161830357142856,2852
3,0.9305334043613025,71.9973041768664,0.008837890624999999,1267
4,0.930116739401781,72.44517447412031,0.00895228794642857,713
5,0.9272320518561226,75.55141911562872,0.008779017857142857,456
6,0.9244250583659822,78.58329324055386,0.00961049107142857,316
7,0.9278702029274708,74.86342351336535,0.009386160714285713,232
8,0.9198864215312864,83.50507141752658,0.009585379464285714,178
9,0.9185534668889168,84.95516492816064,0.009726562499999999,140
10,0.9212528217408394,82.02077253528753,0.009701450892857141,114
11,0.9264437466573501,76.40195106617436,0.009782924107142855,94
12,0.93542505039213,66.75425364255763,0.009632533482142856,79
13,0.9316999531512774,70.74445480881433,0.009664899553571428,67
14,0.9322826985970887,70.11918561518682,0.009855468749999999,58
15,0.9399386896449212,61.940629627249535,0.00972377232142857,50
16,0.9455910712664735,55.94507477497456,0.00973549107142857,44
17,0.948498145352676,52.8754449567121,0.009673828124999999,39
18,0.9502162652281524,51.0656726867541,0.009814453124999999,35
19,0.9520540439685397,49.13347692754687,0.009730747767857142,31
20,0.9488742172259098,52.4790315951856,0.009726562499999999,28
21,0.9469114402133878,54.54970631111179,0.009549386160714284,25
22,0.9478160567276316,53.594828541681196,0.009709542410714284,23
23,0.9526956703182561,48.459764923105865,0.009662109374999998,21
24,0.9546490461450945,46.411496990297834,0.009484095982142856,19
25,0.95652629388878,44.44700078935572,0.009748325892857141,18
26,0.9594162078852161,41.430296284497174,0.009415178571428571,16
27,0.9606056431206688,40.19131518958363,0.009563337053571427,15
28,0.95951195796604,41.33050090642375,0.00956640625,14
29,0.9605132534482438,40.28749838018282,0.009492466517857142,13
30,0.9609727627054138,39.809213071763594,0.009405133928571428,12
