Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
5,0.9257028681743438,77.20197252947442,0.009878303571428569,456
6,0.921158021506936,82.12368143243661,0.00990674107142857,316
7,0.9238105413688578,79.24827017299393,0.009945446428571427,232
8,0.9270118648347901,75.78891432365974,0.009958861607142856,178
9,0.9268041655374002,76.01299189646755,0.009920312499999999,140
10,0.9285284595850113,74.15424751747477,0.009955915178571428,114
11,0.9229440828883404,80.18662823390135,0.009929799107142855,94
12,0.9225081501041646,80.65906830521894,0.009942890624999999,79
13,0.9223651953038282,80.814043497395,0.009898203124999998,67
14,0.9274125605307177,75.35676330506581,0.009943504464285713,58
15,0.9277272882924181,75.01745975884582,0.009846540178571428,50
16,0.9323936495134,70.00018274741872,0.009855033482142856,44
17,0.932417888601417,69.97418646036985,0.009865345982142856,39
18,0.9365703304121704,65.5306607056571,0.009934765624999998,35
19,0.9358631138942791,66.28605903895591,0.009901785714285712,32
20,0.9370564386679682,65.01176518737459,0.009811238839285712,28
21,0.9363317290961021,65.78545386598051,0.009656529017857142,25
22,0.9401819998041588,61.681805646468604,0.00974650669642857,23
23,0.9374420544771295,64.60033160552734,0.009734296874999998,21
24,0.9404616627837753,61.384393662219495,0.009587578124999998,19
25,0.9346784672102588,67.55269417219313,0.009853593749999999,18
26,0.9389692724340487,62.97252402171468,0.009471607142857141,16
27,0.9401923541476013,61.670792580457814,0.009575390625,15
28,0.9415334569249969,60.245395748921204,0.009612031249999998,14
29,0.9421412890976463,59.600027226537314,0.009577198660714284,13
30,0.9444898532072108,57.11033512928985,0.009463526785714283,12
