Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9986917113596331,1.3091451971139882,0.0031830357142857138,2852
3,0.9986917113596331,1.3091451971139882,0.0031830357142857138,2852
4,0.9872667424010324,12.815020335692287,0.007161830357142856,713
5,0.9872667424010324,12.815020335692287,0.007161830357142856,713
6,0.983709106314656,16.42504929914019,0.008816964285714284,316
7,0.983709106314656,16.42504929914019,0.008816964285714284,316
8,0.9882767594668103,11.792499542984109,0.008939732142857142,178
9,0.9882767594668103,11.792499542984109,0.008939732142857142,178
10,0.9898659058665447,10.185793647145994,0.008779017857142857,114
11,0.9898659058665447,10.185793647145994,0.008779017857142857,114
12,0.9898082871455124,10.244003953924683,0.00961049107142857,79
13,0.9898082871455124,10.244003953924683,0.00961049107142857,79
14,0.9923502674509521,7.679141831181308,0.009386160714285713,58
15,0.9923502674509521,7.679141831181308,0.009386160714285713,58
16,0.9926910326691566,7.335808701002867,0.009477678571428571,44
17,0.9926910326691566,7.335808701002867,0.009477678571428571,44
18,0.9924873460704811,7.541016053220377,0.009726562499999999,35
19,0.9924873460704811,7.541016053220377,0.009726562499999999,35
20,0.9932583308926682,6.76449681425408,0.009531249999999998,28
21,0.9932583308926682,6.76449681425408,0.009531249999999998,28
22,0.9946456841588998,5.36870156360919,0.009574776785714284,23
23,0.9946456841588998,5.36870156360919,0.009574776785714284,23
24,0.9939045839716212,6.114068913348395,0.00926674107142857,19
25,0.9939045839716212,6.114068913348395,0.00926674107142857,19
26,0.9971783229649116,2.8256654702176256,0.009232142857142855,16
27,0.9971783229649116,2.8256654702176256,0.009232142857142855,16
28,0.9951796972233504,4.831957905328788,0.009515624999999998,14
29,0.9951796972233504,4.831957905328788,0.009515624999999998,14
30,0.9965119181839996,3.4941793566542154,0.009334821428571427,12
